company,product,color,price,material,model,Avg_Rating,No. Reviews,No. Rating,link
RGY,"Stylish Comfortable Lightweight, Breathable Socks Sports Walking Shoes For Men",White,? 549,Textile,"Stylish Comfortable Lightweight, Breathable Socks Sports",3.9,34,716,https://www.flipkart.com/rgy-stylish-comfortable-lightweight-breathable-socks-sports-walking-shoes-men/p/itmae2e2603bdbaf?pid=SHOGWHKWZVFDP9SG&lid=LSTSHOGWHKWZVFDP9SGBNN0T6&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_21&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DibdTFhXX5lGAqzEGgEA4IVn2QddYFnv_R98yyq4_cAc3w%3D%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
GOLDSTAR,602 Cricket Shoes For Men,Green,? 449,Synthetic,602,3.8,32,672,https://www.flipkart.com/goldstar-602-cricket-shoes-men/p/itme2a3eccb73e05?pid=SHOGX7JGJBHMNAFE&lid=LSTSHOGX7JGJBHMNAFECNEXHX&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_22&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiajkutDVyURge16bn7CdPSP7u_03o2bEa4Cff49MYmvTg%3D%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
Sparx,SM-646 Walking Shoes For Men,"Blue, Black",? 489,Mesh,SM-646,4.1,171,"1,698",https://www.flipkart.com/sparx-sm-646-walking-shoes-men/p/itmdb104bda3f414?pid=SHOFYZF723MZPDMG&lid=LSTSHOFYZF723MZPDMGINZC1X&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_23&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOFYZF723MZPDMG.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
Abros,HAMSTER PRO Running Shoes For Men,Green,"? 1,889",Mesh Cloth,Mesh,4.2,3,21,https://www.flipkart.com/abros-hamster-pro-running-shoes-men/p/itmbcbea3c4ba438?pid=SHOGZ7XVYZSXGGDG&lid=LSTSHOGZ7XVYZSXGGDGGZBNW2&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_24&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGZ7XVYZSXGGDG.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
ADIDAS,Cri Rise V2 Cricket Shoes For Men,White,"? 1,446",Synthetic,Cri Rise V2,4.3,237,"2,850",https://www.flipkart.com/adidas-cri-rise-v2-cricket-shoes-men/p/itm4d0b53f68387a?pid=SHOGZT5YPYZAEKV2&lid=LSTSHOGZT5YPYZAEKV25VXQFL&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_25&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGZT5YPYZAEKV2.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
NIVIA,Carbonite 6.0 Football Shoes For Men,Black,? 636,Synthetic Leather,Carbonite 6.0,4.2,138,"1,952",https://www.flipkart.com/nivia-carbonite-6-0-football-shoes-men/p/itmd700bce9e2398?pid=SHOGPTTGT9DD4VUJ&lid=LSTSHOGPTTGT9DD4VUJNQLVOQ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_26&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGPTTGT9DD4VUJ.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
PUMA,Supertec Running Shoes For Men,White,"? 3,679",Mesh,Supertec,3.9,214,"2,962",https://www.flipkart.com/puma-supertec-running-shoes-men/p/itmaee349be80393?pid=SHOG8VF73S65QSPV&lid=LSTSHOG8VF73S65QSPVWO9TFF&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_27&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3Dibj52w9LT2AdlUHEIsOGGObmmSLziTgk9BZJtNWQAthoOI7uWi7bi3WLqk6JF-UYDE%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
RED TAPE,"Sports Walking Shoes for Men | Soft Cushioned Insole, Slip-Resistance Walking Shoes For Men",White,"? 1,519",Mesh,"Sports Walking Shoes for Men | Soft Cushioned Insole, Slip-Resistance",4.3,41,291,https://www.flipkart.com/red-tape-sports-walking-shoes-men-soft-cushioned-insole-slip-resistance/p/itm2abccfb83d2a1?pid=SHOGV2VUZD3UCSFF&lid=LSTSHOGV2VUZD3UCSFFOKEBZ0&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_28&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiYQ4MVgliRcIZpPI9s5Db4EaBfNMJyz7Sv-EbXy24ylfYE8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
CAMPUS,HURRICANE Running Shoes For Men,Navy,? 699,Mesh,HURRICANE,4.3,595,"4,915",https://www.flipkart.com/campus-hurricane-running-shoes-men/p/itme55da032c2427?pid=SHOG6BNZC8R3RHAG&lid=LSTSHOG6BNZC8R3RHAGPA5ZOQ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_29&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOG6BNZC8R3RHAG.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
ADIDAS,GlideEase M Running Shoes For Men,White,"? 1,047",Synthetic,GlideEase M,4.1,"2,471","28,977",https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itmc8340026ad1b5?pid=SHOGFFYSYKDW4SAK&lid=LSTSHOGFFYSYKDW4SAKZWOSMP&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&spotlightTagId=TrendingId_osp%2Fcil%2F1cu&srno=b_1_30&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGFFYSYKDW4SAK.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
